time,prcp (mm/day),tmax (degrees C),tmin (degrees C),year,month
1980-04-30,110.62,3.048,-11.522666666666668,1980,4
1980-05-31,76.74,8.700967741935484,-3.5222580645161288,1980,5
1980-06-30,13.75,20.785,0.9843333333333334,1980,6
1980-07-31,54.21,22.279354838709676,3.3574193548387097,1980,7
1980-08-31,60.9,19.423870967741934,1.8341935483870968,1980,8
1980-09-30,23.43,17.454333333333334,-0.05900000000000003,1980,9
1980-10-31,12.870000000000001,9.557096774193548,-8.358709677419355,1980,10
1981-04-30,6.84,10.004999999999999,-6.721666666666667,1981,4
1981-05-31,55.230000000000004,10.021290322580644,-3.9638709677419355,1981,5
1981-06-30,67.96,19.572,0.6943333333333332,1981,6
1981-07-31,106.67,20.022903225806452,4.230645161290322,1981,7
1981-08-31,86.76,17.93548387096774,2.4612903225806453,1981,8
1981-09-30,68.76,15.709,-1.056,1981,9
1981-10-31,35.269999999999996,8.480645161290322,-6.139677419354838,1981,10
1982-04-30,10.85,5.560333333333333,-9.818000000000001,1982,4
1982-05-31,79.78,10.088064516129032,-5.188709677419355,1982,5
1982-06-30,71.45,15.413333333333332,-1.4289999999999998,1982,6
1982-07-31,61.99,18.55032258064516,0.5793548387096774,1982,7
1982-08-31,99.0,18.87451612903226,3.5270967741935486,1982,8
1982-09-30,91.12,13.574,0.057,1982,9
1982-10-31,2.81,7.49,-8.088709677419354,1982,10
1983-04-30,13.18,2.866333333333333,-11.339666666666666,1983,4
1983-05-31,61.5,8.143548387096773,-5.161612903225806,1983,5
1983-06-30,64.72,16.173,-0.21766666666666667,1983,6
1983-07-31,78.18,20.669032258064515,4.775806451612904,1983,7
1983-08-31,165.54,19.438387096774196,4.812903225806451,1983,8
1983-09-30,5.92,17.059333333333335,0.4203333333333333,1983,9
1983-10-31,0.5,10.653225806451612,-5.233548387096774,1983,10
1984-04-30,56.31,3.0786666666666664,-11.35,1984,4
1984-05-31,11.15,12.993225806451614,-2.982258064516129,1984,5
1984-06-30,64.17,16.308333333333334,0.07500000000000001,1984,6
1984-07-31,88.12,19.917096774193546,4.5841935483870975,1984,7
1984-08-31,202.96,17.968064516129033,3.1919354838709677,1984,8
1984-09-30,16.55,15.200333333333333,-0.7856666666666666,1984,9
1984-10-31,100.72,3.780967741935484,-8.836774193548386,1984,10
1985-04-30,45.2,6.932,-8.048,1985,4
1985-05-31,85.79,11.598709677419356,-2.956774193548387,1985,5
1985-06-30,23.63,17.740000000000002,0.2363333333333333,1985,6
1985-07-31,117.96,18.85225806451613,2.954516129032258,1985,7
1985-08-31,21.91,20.098064516129032,1.2651612903225806,1985,8
1985-09-30,52.959999999999994,12.868666666666666,-3.5813333333333333,1985,9
1985-10-31,39.83,8.919354838709678,-7.150645161290322,1985,10
1986-04-30,30.58,7.1433333333333335,-8.327666666666666,1986,4
1986-05-31,37.74,11.469354838709679,-5.595806451612903,1986,5
1986-06-30,51.629999999999995,18.017,0.662,1986,6
1986-07-31,84.42,19.28322580645161,3.5558064516129035,1986,7
1986-08-31,86.88,19.38258064516129,3.11,1986,8
1986-09-30,21.08,14.327,-0.527,1986,9
1986-10-31,80.81,7.316451612903226,-6.1164516129032265,1986,10
1987-04-30,12.28,5.958666666666667,-9.590666666666667,1987,4
1987-05-31,77.89,11.288387096774194,-2.0193548387096776,1987,5
