time,prcp (mm/day),tmax (degrees C),tmin (degrees C),year,month
1980-04-30,27.49,17.317999999999998,3.0336666666666665,1980,4
1980-05-31,80.04,24.03548387096774,9.27,1980,5
1980-06-30,104.52,27.623333333333335,14.421333333333333,1980,6
1980-07-31,47.05,31.97967741935484,18.173548387096773,1980,7
1980-08-31,129.63,29.44645161290323,16.851612903225806,1980,8
1980-09-30,44.96,25.61466666666667,11.06,1980,9
1980-10-31,42.97,15.654193548387095,2.3932258064516128,1980,10
1981-04-30,75.67,19.788333333333334,5.623666666666667,1981,4
1981-05-31,38.269999999999996,21.791935483870965,7.668387096774193,1981,5
1981-06-30,136.78,28.141333333333332,14.764000000000001,1981,6
1981-07-31,96.59,28.79,17.733548387096775,1981,7
1981-08-31,125.84,27.133548387096774,15.01741935483871,1981,8
1981-09-30,67.98,24.711333333333336,9.809666666666667,1981,9
1981-10-31,49.26,15.66483870967742,2.8029032258064515,1981,10
1982-04-30,80.37,13.347666666666667,0.6583333333333333,1982,4
1982-05-31,185.56,22.346129032258066,11.919354838709678,1982,5
1982-06-30,96.5,24.605,12.076,1982,6
1982-07-31,174.13,29.5641935483871,17.267419354838708,1982,7
1982-08-31,108.9,27.273870967741935,15.463870967741935,1982,8
1982-09-30,52.21,22.821666666666665,11.136,1982,9
1982-10-31,90.74000000000001,17.816129032258065,5.264838709677419,1982,10
1983-04-30,84.84,11.283666666666667,1.2033333333333334,1983,4
1983-05-31,171.38,19.54064516129032,7.150967741935484,1983,5
1983-06-30,210.91,27.54866666666667,14.973333333333333,1983,6
1983-07-31,118.87,31.826129032258066,18.554193548387094,1983,7
1983-08-31,94.62,32.78741935483871,18.67096774193548,1983,8
1983-09-30,105.81,25.557333333333336,10.771333333333333,1983,9
1983-10-31,146.34,16.377741935483872,4.669677419354838,1983,10
1984-04-30,156.96,13.508666666666667,3.067,1984,4
1984-05-31,162.22,20.5058064516129,7.471290322580645,1984,5
1984-06-30,214.79,27.767333333333333,15.472333333333333,1984,6
1984-07-31,129.12,29.131612903225808,15.77290322580645,1984,7
1984-08-31,7.21,30.333548387096776,16.02193548387097,1984,8
1984-09-30,70.27,23.30233333333333,9.322,1984,9
1984-10-31,126.47,17.29741935483871,5.468064516129032,1984,10
1985-04-30,18.09,19.154999999999998,5.726333333333334,1985,4
1985-05-31,36.73,24.903225806451612,10.537741935483872,1985,5
1985-06-30,77.44,26.363999999999997,12.411,1985,6
1985-07-31,51.739999999999995,29.563870967741938,15.792903225806452,1985,7
1985-08-31,145.9,27.057741935483868,13.78225806451613,1985,8
1985-09-30,125.95,23.099666666666668,12.287,1985,9
1985-10-31,77.33,16.37709677419355,4.837741935483871,1985,10
1986-04-30,111.62,17.827333333333335,4.912333333333334,1986,4
1986-05-31,141.97,22.40290322580645,10.19032258064516,1986,5
1986-06-30,167.7,28.037666666666667,16.079666666666665,1986,6
1986-07-31,130.56,30.199677419354842,18.596774193548388,1986,7
1986-08-31,118.01,25.822903225806453,13.911935483870968,1986,8
1986-09-30,197.92,24.259999999999998,13.193999999999999,1986,9
1986-10-31,106.0,16.713548387096775,5.209354838709678,1986,10
1987-04-30,48.21,19.55,4.438999999999999,1987,4
1987-05-31,88.69,26.13064516129032,11.793870967741936,1987,5
1987-06-30,52.720000000000006,29.92233333333333,16.208000000000002,1987,6
1987-07-31,162.39,31.070645161290326,18.47774193548387,1987,7
1987-08-31,346.71,26.713870967741936,15.448064516129032,1987,8
1987-09-30,36.19,24.301,10.740333333333332,1987,9
1987-10-31,33.81,15.256774193548386,0.9432258064516129,1987,10
1988-04-30,32.33,17.330333333333332,1.806,1988,4
1988-05-31,41.92,26.961935483870967,11.080967741935483,1988,5
1988-06-30,34.13,31.189666666666668,15.699666666666667,1988,6
1988-07-31,71.56,32.23838709677419,17.239677419354837,1988,7
1988-08-31,124.58,32.219032258064516,17.725161290322582,1988,8
1988-09-30,82.11,25.429333333333332,11.494666666666665,1988,9
1988-10-31,9.51,14.89225806451613,1.0083870967741937,1988,10
1989-04-30,64.86,17.0,2.8126666666666664,1989,4
1989-05-31,103.22,22.768387096774195,8.044516129032258,1989,5
1989-06-30,74.63,26.53666666666667,13.728666666666667,1989,6
1989-07-31,81.55,30.306129032258063,17.912580645161288,1989,7
1989-08-31,83.64,28.13,15.885806451612902,1989,8
1989-09-30,75.79,22.9,9.231333333333334,1989,9
1989-10-31,73.46,18.540967741935482,4.056451612903226,1989,10
1990-04-30,69.28,15.884666666666668,2.4313333333333333,1990,4
1990-05-31,211.62,19.956129032258065,7.8835483870967735,1990,5
1990-06-30,216.85999999999999,27.169666666666668,16.01033333333333,1990,6
1990-07-31,263.17,27.637096774193548,17.50774193548387,1990,7
1990-08-31,102.2,28.026451612903223,17.05354838709677,1990,8
1990-09-30,31.01,25.744333333333334,12.990666666666668,1990,9
1990-10-31,43.09,17.914516129032258,3.4238709677419354,1990,10
1991-04-30,197.97,16.677333333333333,5.149333333333333,1991,4
1991-05-31,135.09,23.38225806451613,13.111612903225806,1991,5
1991-06-30,162.94,29.11,17.594333333333335,1991,6
1991-07-31,32.43,29.80290322580645,17.231290322580644,1991,7
1991-08-31,68.50999999999999,28.122258064516128,16.254516129032258,1991,8
1991-09-30,61.75,23.804666666666666,10.398,1991,9
1991-10-31,121.50999999999999,16.373870967741933,3.020967741935484,1991,10
1992-04-30,83.49,13.904,2.219,1992,4
1992-05-31,27.31,22.970322580645163,8.856774193548388,1992,5
1992-06-30,37.35,27.305333333333333,13.476666666666667,1992,6
1992-07-31,299.84999999999997,25.42774193548387,15.32,1992,7
1992-08-31,44.92,25.20451612903226,13.015806451612903,1992,8
1992-09-30,75.55,22.70133333333333,9.884333333333334,1992,9
