time,prcp (mm/day),tmax (degrees C),tmin (degrees C),year,month
1980-04-30,53.699999999999996,14.590333333333332,1.1213333333333333,1980,4
1980-05-31,81.48,22.620322580645162,6.5683870967741935,1980,5
1980-06-30,104.98,24.743666666666666,10.811666666666667,1980,6
1980-07-31,71.8,28.57677419354839,14.67483870967742,1980,7
1980-08-31,261.89,25.629677419354838,14.442580645161291,1980,8
1980-09-30,159.35,20.500999999999998,8.633666666666667,1980,9
1980-10-31,65.81,11.422258064516129,0.1861290322580644,1980,10
1981-04-30,132.53,14.633999999999999,1.5166666666666666,1981,4
1981-05-31,47.54,20.256774193548388,4.750322580645161,1981,5
1981-06-30,101.36999999999999,24.758333333333333,12.087,1981,6
1981-07-31,74.02000000000001,27.04741935483871,13.93774193548387,1981,7
1981-08-31,104.24,25.844193548387096,13.681935483870967,1981,8
1981-09-30,95.5,20.048000000000002,7.104333333333333,1981,9
1981-10-31,102.59,12.393225806451612,1.382258064516129,1981,10
1982-04-30,98.82,11.293000000000001,-2.177333333333333,1982,4
1982-05-31,97.52,22.518709677419356,9.65548387096774,1982,5
1982-06-30,79.98,22.494000000000003,7.902,1982,6
1982-07-31,177.47,27.816451612903226,14.712258064516128,1982,7
1982-08-31,96.86,25.07709677419355,11.87483870967742,1982,8
1982-09-30,74.64,19.86,8.300333333333333,1982,9
1982-10-31,74.09,14.843225806451612,3.0832258064516127,1982,10
1983-04-30,43.14,10.660666666666666,-0.7,1983,4
1983-05-31,170.05,16.293870967741935,4.071612903225806,1983,5
1983-06-30,38.26,25.619333333333334,11.610999999999999,1983,6
1983-07-31,73.98,29.76258064516129,16.280322580645162,1983,7
1983-08-31,211.72,28.891612903225806,15.182258064516128,1983,8
1983-09-30,154.37,21.579666666666665,9.406666666666666,1983,9
1983-10-31,80.02000000000001,14.128709677419355,3.148387096774193,1983,10
1984-04-30,129.01,13.558,1.7093333333333334,1984,4
1984-05-31,63.98,18.96709677419355,4.8348387096774195,1984,5
1984-06-30,157.36,25.810333333333336,13.157333333333334,1984,6
1984-07-31,117.15,26.811935483870965,13.607096774193549,1984,7
1984-08-31,135.49,27.42258064516129,14.587096774193547,1984,8
1984-09-30,139.55,20.33133333333333,7.401,1984,9
